Code,Nom français,Nom latin
LIS,Livêche d'écosse,Ligusticum scoticum Linnaeus
LIV,Linaire vulgaire,Linaria vulgaris Miller
LOD,Chèvrefeuille dioïque,Lonicera dioica Linnaeus
LOH,Chèvrefeuille hirsute,Lonicera hirsuta Eaton
LOI,Lobélie gonflée,Lobelia inflata Linnaeus
LON,Chèvrefeuille du canada,Lonicera canadensis Bartram ex Marshall
LOO,Chèvrefeuille à feuilles oblongues,Lonicera oblongifolia (Goldie) Hooker
LOT,Chèvrefeuille de tartarie,Lonicera tatarica Linnaeus
LOV,Chèvrefeuille velu,Lonicera villosa (Michaux) Roemer & Schultes
LUS,Luzule,Luzula de Candolle
LYA,Lycopode innovant,Spinulum annotinum (Linnaeus) A. Haines subsp. annotinum
LYB,Lycopode à feuilles de genévrier,Diphasiastrum ×sabinifolium (Willdenow) Holub
LYC,Lycopode claviforme,Lycopodium clavatum Linnaeus
LYE,Lysimaque terrestre,"Lysimachia terrestris (Linnaeus) Britton, Sterns & Poggenberg"
LYF,Lycopode en éventail,Diphasiastrum digitatum (Dillenius ex A. Braun) Holub
LYI,Lysimaque ciliée,Lysimachia ciliata Linnaeus
LYL,Lycopode brillant,Huperzia lucidula (Michaux) Trevisan
LYM,Lycope d'amérique,Lycopus americanus Muhlenberg ex W.P.C. Barton
LYN,Lysimaque ponctuée,Lysimachia punctata Linnaeus
LYO,Lycopode obscur,Dendrolycopodium obscurum (Linnaeus) A. Haines
LYP,Lycopode aplati,Diphasiastrum complanatum (Linnaeus) Holub
LYR,Lysimaque nummulaire,Lysimachia nummularia Linnaeus
LYS,Salicaire commune,Lythrum salicaria Linnaeus
LYT,Lycopode à trois épis,Diphasiastrum tristachyum (Pursh) Holub
LYU,Lycope à une fleur,Lycopus uniflorus Michaux
MAC,Maïanthème du canada,Maianthemum canadense Desfontaines
MAM,Matricaire maritime,Tripleurospermum maritimum (Linnaeus) W.D.J. Koch
MAS,Pommier,Malus Miller
MAT,Matteuccie fougère-à-l'autruche,Matteuccia struthiopteris (Linnaeus) Todaro
MAU,Malaxis unifolié,Malaxis unifolia Michaux
MEA,Menthe des champs,Mentha arvensis Linnaeus
MEC,Menthe du canada,Mentha canadensis Linnaeus
MED,Luzerne lupuline,Medicago lupulina Linnaeus
MEH,Mélèze hybride,Larix ×marschlinsii Coaz
MEI,Mélampyre linéaire,Melampyrum lineare Desrousseaux
MEL,Mélèze laricin,Larix laricina (Du Roi) K. Koch
MEO,Mélilot,Melilotus Miller
MEP,Mertensie paniculée,Mertensia paniculata (Aiton) G. Don
MES,Luzerne cultivée,Medicago sativa Linnaeus
MET,Trèfle d'eau,Menyanthes trifoliata Linnaeus
MEV,Médéole de virginie,Medeola virginiana Linnaeus
MID,Mitrelle à deux feuilles,Mitella diphylla Linnaeus
MIM,Mimule à fleurs entrouvertes,Mimulus ringens Linnaeus
MIN,Mitrelle nue,Mitella nuda Linnaeus
MIR,Pain-de-perdrix,Mitchella repens Linnaeus
MNP,Mnie ponctuée,Rhizomnium magnifolium (Horik.) T. Kop.
MNS,,Mnium Hedw.
MOH,Monotrope du pin,Hypopitys monotropa Crantz
MON,Monotrope uniflore,Monotropa uniflora Linnaeus
MOU,Monésès uniflore,Moneses uniflora (Linnaeus) A. Gray
MYA,Myosotis des champs,Myosotis arvensis (Linnaeus) Hill
MYG,Myrique baumier,Myrica gale Linnaeus
NEA,Néphrome arctique,Nephroma arcticum (L.) Torss.
NEM,Némopanthe mucroné,"Ilex mucronata (Linnaeus) M. Powell, V. Savolainen & S. Andrews"
NOC,Noyer cendré,Juglans cinerea Linnaeus
NON,Noyer noir,Juglans nigra Linnaeus
NUV,Grand nénuphar jaune,Nuphar variegata Engelmann ex Durand
OEC,Onagre parviflore,Oenothera parviflora Linnaeus
OEP,Onagre vivace,Oenothera perennis Linnaeus
ONS,Onoclée sensible,Onoclea sensibilis Linnaeus
ORA,Orme d'amérique,Ulmus americana Linnaeus
ORR,Orme rouge,Ulmus rubra Muhlenberg
ORT,Orme liège,Ulmus thomasii Sargent
OSC,Osmonde cannelle,Osmundastrum cinnamomeum (Linnaeus) C. Presl
OSL,Osmorhize de clayton,Osmorhiza claytonii (Michaux) C.B. Clarke
OSR,Osmonde royale,Osmunda regalis Linnaeus
OSV,Ostryer de virginie,Ostrya virginiana (Miller) K. Koch
OSY,Osmonde de clayton,Claytosmunda claytoniana (Linnaeus) Metzgar & Rouhan
OXM,Oxalide de montagne,Oxalis montana Rafinesque
OXS,Oxalide d'europe,Oxalis stricta Linnaeus
PAN,Ginseng à cinq folioles,Panax quinquefolius Linnaeus
PAQ,Vigne vierge à cinq folioles,Parthenocissus quinquefolia (Linnaeus) Planchon ex de Candolle
PAS,Panais sauvage,Pastinaca sativa Linnaeus
PAT,Ginseng à trois folioles,Panax trifolius Linnaeus
PEA,Peltigère aphteuse,Peltigera aphthosa (L.) Willd.
PEB,Peuplier baumier,Populus balsamifera Linnaeus
PED,Peuplier deltoïde,Populus deltoides W. Bartram ex Marshall
PEG,Peuplier à grandes dents,Populus grandidentata Michaux
PES,Pétasite palmé,Petasites frigidus var. palmatus (Aiton) Cronquist
PET,Peuplier faux-tremble,Populus tremuloides Michaux
PHH,Coqueret hétérophylle,Physalis heterophylla Nees
PHL,Phryma à épis grêles,Phryma leptostachya Linnaeus
PHO,Physocarpe à feuilles d'obier,Physocarpus opulifolius (Linnaeus) Maximowicz
PIB,Pin blanc,Pinus strobus Linnaeus
PID,Pin rigide,Pinus rigida P. Miller
PIG,Pin gris,Pinus banksiana Lambert
PIP,Piléa nain,Pilea pumila (Linnaeus) A. Gray
PIR,Pin rouge,Pinus resinosa Aiton
PIS,Pin sylvestre,Pinus sylvestris Linnaeus
PLM,Plantain majeur,Plantago major Linnaeus
PLS,Hypne de schreber,Pleurozium schreberi (Brid.) Mitt.
POA,Polystic faux-acrostic,Polystichum acrostichoides (Michaux) Schott
POB,Polystic de braun,Polystichum braunii (Spenner) Fée
POC,Renouée à noeuds ciliés,Fallopia cilinodis (Michaux) Holub
POD,Potentille tridentée,Sibbaldia tridentata (Aiton) Paule & Soják
POE,Potentille argentée,Potentilla argentea Linnaeus
POF,Potentille frutescente,Dasiphora fruticosa (Linnaeus) Rydberg
POG,Renouée,Polygonum Linnaeus
POI,Potentille des neiges,Potentilla nivea Linnaeus
POL,Sceau-de-salomon,Polygonatum Miller
PON,Potentille de norvège,Potentilla norvegica Linnaeus
POP,Sceau-de-salomon pubescent,Polygonatum pubescens (Willdenow) Pursh
POR,Potentille dressée,Potentilla recta Linnaeus
POS,,Polytrichum Hedw.
POT,Comaret des marais,Comarum palustre Linnaeus
POU,Polygale sanguin,Polygala sanguinea Linnaeus
POV,Polypode de virginie,Polypodium virginianum Linnaeus
POX,Potentille simple,Potentilla simplex Michaux
POY,Renouée persicaire,Persicaria maculosa Gray
PRA,Proserpinie des marais,Proserpinaca palustris Linnaeus
